ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
79553,"Yelena Sergeyevna Migunova",F,24,168,58,Russia,RUS,"2008 Summer",2008,Summer,Beijing,Athletics,"Athletics Women's 4 x 400 metres Relay",Silver
79570,"Maja Mihalinec",F,26,175,65,Slovenia,SLO,"2016 Summer",2016,Summer,"Rio de Janeiro",Athletics,"Athletics Women's 200 metres",NA
79575,"Malaika Mihambo",F,22,170,55,Germany,GER,"2016 Summer",2016,Summer,"Rio de Janeiro",Athletics,"Athletics Women's Long Jump",NA
79651,"Virzhiniya Mikhaylova Dimitrova (-Angelova)",F,32,168,78,Bulgaria,BUL,"1964 Summer",1964,Summer,Tokyo,Athletics,"Athletics Women's Discus Throw",NA
79658,"Elina Dmitriyevna Mikhina",F,22,170,55,Kazakhstan,KAZ,"2016 Summer",2016,Summer,"Rio de Janeiro",Athletics,"Athletics Women's 400 metres",NA
79671,"Irina Mikitenko (Volynskaya-)",F,23,162,47,Kazakhstan,KAZ,"1996 Summer",1996,Summer,Atlanta,Athletics,"Athletics Women's 5,000 metres",NA
79671,"Irina Mikitenko (Volynskaya-)",F,28,162,47,Germany,GER,"2000 Summer",2000,Summer,Sydney,Athletics,"Athletics Women's 5,000 metres",NA
79671,"Irina Mikitenko (Volynskaya-)",F,31,162,47,Germany,GER,"2004 Summer",2004,Summer,Athina,Athletics,"Athletics Women's 5,000 metres",NA
79671,"Irina Mikitenko (Volynskaya-)",F,39,162,47,Germany,GER,"2012 Summer",2012,Summer,London,Athletics,"Athletics Women's Marathon",NA
79696,"Andrea Mikls",F,17,165,51,Romania,ROU,"2016 Summer",2016,Summer,"Rio de Janeiro",Athletics,"Athletics Women's 4 x 400 metres Relay",NA
79720,"Emilia Mikue Ondo",F,19,160,63,"Equatorial Guinea",GEQ,"2004 Summer",2004,Summer,Athina,Athletics,"Athletics Women's 800 metres",NA
79720,"Emilia Mikue Ondo",F,23,160,63,"Equatorial Guinea",GEQ,"2008 Summer",2008,Summer,Beijing,Athletics,"Athletics Women's 800 metres",NA
79741,"Alba Milana",F,25,171,50,Italy,ITA,"1984 Summer",1984,Summer,"Los Angeles",Athletics,"Athletics Women's Marathon",NA
79762,"Milena Milaevi",F,24,173,64,Montenegro,MNE,"2008 Summer",2008,Summer,Beijing,Athletics,"Athletics Women's 100 metres",NA
79763,"Anik Milassin (Ziegner-)",F,22,174,54,Hungary,HUN,"1976 Summer",1976,Summer,Montreal,Athletics,"Athletics Women's Long Jump",NA
79796,"Helen Louise Miles (-Jones)",F,21,160,55,"Great Britain",GBR,"1988 Summer",1988,Summer,Seoul,Athletics,"Athletics Women's 100 metres",NA
79800,"Jearl Atawa Miles-Clark",F,25,170,60,"United States",USA,"1992 Summer",1992,Summer,Barcelona,Athletics,"Athletics Women's 400 metres",NA
79800,"Jearl Atawa Miles-Clark",F,25,170,60,"United States",USA,"1992 Summer",1992,Summer,Barcelona,Athletics,"Athletics Women's 4 x 400 metres Relay",Silver
79800,"Jearl Atawa Miles-Clark",F,29,170,60,"United States",USA,"1996 Summer",1996,Summer,Atlanta,Athletics,"Athletics Women's 400 metres",NA
79800,"Jearl Atawa Miles-Clark",F,29,170,60,"United States",USA,"1996 Summer",1996,Summer,Atlanta,Athletics,"Athletics Women's 4 x 400 metres Relay",Gold
79800,"Jearl Atawa Miles-Clark",F,34,170,60,"United States",USA,"2000 Summer",2000,Summer,Sydney,Athletics,"Athletics Women's 800 metres",NA
79800,"Jearl Atawa Miles-Clark",F,34,170,60,"United States",USA,"2000 Summer",2000,Summer,Sydney,Athletics,"Athletics Women's 4 x 400 metres Relay",Gold
79800,"Jearl Atawa Miles-Clark",F,37,170,60,"United States",USA,"2004 Summer",2004,Summer,Athina,Athletics,"Athletics Women's 800 metres",NA
